Title,Company's Name,Location,Duration,Stipend
Business Research,Beri Udyog Private Limited,Haryana,3 Months,"₹ 3,000 - 10,000 "
Technical Research,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Teaching and Management,Sarvam Foundation,"Gurgaon, Delhi",3 Months,"₹ 5,000 "
Digital Marketing,SmartXaaS LLP,Noida,3 Months,"₹ 10,000 - 15,000 "
Capital Market,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Investment Analyst,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Research Analyst,Big Bulls,Work from home,2 Months,"₹ 8,000 - 30,000 "
Online Marketing,Pawzz Foundation,Work from home,1 Month,"₹ 1,500 - 15,000 "
Data Science,Maxgen Technologies Private Limited,Ahmedabad,2 Months,"₹ 7,000 - 12,000 "
Product Strategy Analyst,Sigaar Play,Bangalore,6 Months,"₹ 10,000 "
Software Development,Astirmind,"Ludhiana, Phagwara, Khanna",6 Months,"₹ 5,000 "
Project Management,Brave Artificial Intelligence Laboratory,Work from home,3 Months,"₹ 15,000 - 25,000 "
Data Science,Brave Artificial Intelligence Laboratory,Work from home,3 Months,"₹ 15,000 - 25,000 "
Business Development (Sales),Entertainment Quotient,Mumbai,6 Months,"₹ 10,000 - 17,000 "
Market Research,Assistnow Inc,Work from home,3 Months,"₹ 5,000 - 10,000 "
Search Engine Optimization (SEO),MoncWare Info,Ahmedabad,1 Month,"₹ 2,000 "
Data Science,Bezt Labs,Work from home,3 Months,"₹ 10,000 - 11,000 "
Research And Analysis,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Data Analytics,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Junior Process Analyst,Krishna Consultants,Hyderabad,3 Months,"₹ 4,000 - 7,000 "
Search Engine Optimization (SEO),Switch2us,Noida,6 Months,"₹ 6,000 - 8,000 "
Search Engine Optimization (SEO),Digigrove Digital Pvt Ltd,Gurgaon,3 Months,"₹ 7,000 - 9,000 "
Supply Chain & Logistics Operations,Evavo Wellness & Solutions LLP,Mumbai,6 Months,"₹ 7,000 - 10,000 "
